Timestamp;PacketTransmit;PacketReceive;PacketLossCount;PacketLossRate;RTTMin;RTTAvg;RTTMax;RTTMdev
2024-05-11 00:32:28;10;10;0;0.0;38.457;44.52;60.169;7.399
2024-05-11 00:32:38;10;10;0;0.0;37.086;43.951;49.04;3.7
2024-05-11 00:32:48;10;10;0;0.0;38.292;51.538;79.277;12.437
2024-05-11 00:32:58;10;10;0;0.0;43.65;85.136;392.038;102.485
2024-05-11 00:33:08;10;10;0;0.0;42.38;67.822;116.63;22.567
2024-05-11 00:33:18;10;10;0;0.0;49.97;71.091;102.825;17.222
2024-05-11 00:33:28;10;10;0;0.0;44.97;68.235;111.083;22.744
2024-05-11 00:33:39;10;10;0;0.0;50.186;120.125;238.385;53.031
2024-05-11 00:33:49;10;10;0;0.0;43.703;63.582;102.058;18.05
2024-05-11 00:33:59;10;10;0;0.0;38.098;58.774;87.395;16.116
2024-05-11 00:34:09;10;10;0;0.0;39.906;59.739;89.849;15.908
2024-05-11 00:34:19;10;10;0;0.0;38.209;44.078;53.119;4.393
2024-05-11 00:34:29;10;10;0;0.0;38.089;43.247;51.49;4.307
2024-05-11 00:34:39;10;10;0;0.0;42.069;47.443;55.235;4.169
2024-05-11 00:34:49;10;10;0;0.0;37.06;42.818;54.949;4.494
2024-05-11 00:35:00;10;10;0;0.0;36.674;42.728;59.303;6.101
2024-05-11 00:35:11;10;9;1;10.0;32.118;40.485;50.915;5.983
2024-05-11 00:35:21;10;10;0;0.0;36.913;48.213;73.859;11.789
2024-05-11 00:35:31;10;10;0;0.0;35.633;41.919;53.711;4.775
2024-05-11 00:35:41;10;10;0;0.0;41.064;46.374;59.589;5.016
2024-05-11 00:35:51;10;10;0;0.0;42.339;49.56;59.894;4.441
2024-05-11 00:36:01;10;10;0;0.0;42.028;50.986;61.841;5.901
2024-05-11 00:36:11;10;10;0;0.0;39.427;44.764;48.964;3.297
2024-05-11 00:36:21;10;10;0;0.0;57.969;63.677;75.254;5.178
2024-05-11 00:36:32;10;10;0;0.0;36.561;56.745;107.531;19.639
2024-05-11 00:36:42;10;10;0;0.0;38.105;46.017;85.33;13.283
2024-05-11 00:36:52;10;10;0;0.0;39.229;46.52;54.371;5.005
2024-05-11 00:37:02;10;10;0;0.0;38.297;42.404;51.394;3.49
2024-05-11 00:37:12;10;10;0;0.0;37.123;44.088;51.583;3.805
2024-05-11 00:37:22;10;10;0;0.0;31.982;44.242;56.008;8.57
2024-05-11 00:37:32;10;10;0;0.0;28.021;37.398;51.56;6.782
2024-05-11 00:37:42;10;10;0;0.0;31.592;36.737;41.901;2.996
2024-05-11 00:37:52;10;10;0;0.0;36.846;41.982;55.943;5.561
2024-05-11 00:38:02;10;10;0;0.0;38.446;42.119;49.027;3.426
2024-05-11 00:38:13;10;10;0;0.0;36.952;46.505;90.421;14.996
2024-05-11 00:38:24;10;5;5;50.0;38.235;42.519;47.717;3.342
2024-05-11 00:38:36;10;10;0;0.0;27.342;37.886;45.724;5.28
2024-05-11 00:38:46;10;10;0;0.0;37.296;46.441;72.6;11.039
2024-05-11 00:38:56;10;10;0;0.0;38.722;45.343;54.514;5.125
2024-05-11 00:39:06;10;10;0;0.0;39.824;72.187;134.09;33.43
2024-05-11 00:39:17;10;9;1;10.0;31.298;52.797;87.091;16.559
2024-05-11 00:39:28;10;10;0;0.0;38.298;52.751;114.754;21.447
2024-05-11 00:39:38;10;10;0;0.0;41.412;48.381;58.704;4.831
2024-05-11 00:39:48;10;10;0;0.0;37.989;44.911;65.999;7.924
2024-05-11 00:39:58;10;10;0;0.0;36.975;42.169;49.781;3.726
2024-05-11 00:40:08;10;10;0;0.0;40.069;43.416;47.556;2.365
2024-05-11 00:40:18;10;10;0;0.0;36.102;42.759;51.524;5.332
2024-05-11 00:40:28;10;10;0;0.0;29.61;43.103;58.32;8.333
2024-05-11 00:40:38;10;10;0;0.0;29.023;35.197;51.867;6.436
2024-05-11 00:40:48;10;10;0;0.0;32.872;42.805;57.872;6.751
2024-05-11 00:40:58;10;10;0;0.0;38.2;42.445;47.622;2.916
2024-05-11 00:41:08;10;10;0;0.0;38.178;61.142;240.195;59.726
2024-05-11 00:41:20;10;2;8;80.0;45.907;52.769;59.631;6.862
2024-05-11 00:41:38;10;10;0;0.0;30.035;36.968;47.017;5.5
2024-05-11 00:41:48;10;10;0;0.0;37.445;45.066;56.902;6.082
2024-05-11 00:41:58;10;10;0;0.0;38.252;93.427;522.935;143.39
2024-05-11 00:42:09;10;10;0;0.0;40.523;45.075;48.955;3.151
2024-05-11 00:42:19;10;10;0;0.0;32.146;57.412;105.249;23.629
2024-05-11 00:42:29;10;10;0;0.0;33.766;61.586;92.776;14.564
2024-05-11 00:42:39;10;10;0;0.0;59.622;63.74;69.358;3.096
2024-05-11 00:42:49;10;10;0;0.0;43.763;49.375;61.79;6.315
2024-05-11 00:42:59;10;10;0;0.0;42.222;50.725;60.965;5.428
2024-05-11 00:43:09;10;10;0;0.0;38.327;45.669;55.5;5.999
2024-05-11 00:43:19;10;10;0;0.0;36.884;54.405;109.328;20.142
2024-05-11 00:43:30;10;10;0;0.0;37.193;45.168;62.766;6.902
2024-05-11 00:43:40;10;10;0;0.0;36.971;44.585;63.557;8.233
2024-05-11 00:43:50;10;10;0;0.0;36.903;45.843;62.941;7.026
2024-05-11 00:44:00;10;10;0;0.0;36.589;44.884;67.249;8.977
2024-05-11 00:44:10;10;10;0;0.0;36.168;45.397;68.639;9.662
2024-05-11 00:44:20;10;10;0;0.0;37.337;43.128;53.805;5.425
2024-05-11 00:44:30;10;10;0;0.0;36.665;41.415;46.933;3.133
2024-05-11 00:44:40;10;10;0;0.0;37.29;42.358;48.196;3.939
2024-05-11 00:44:50;10;10;0;0.0;29.131;40.65;51.1;6.35
2024-05-11 00:45:00;10;10;0;0.0;32.115;41.359;70.89;10.446
2024-05-11 00:45:11;10;10;0;0.0;37.33;41.256;45.124;2.37
2024-05-11 00:45:23;10;10;0;0.0;36.986;67.568;141.105;31.427
2024-05-11 00:45:33;10;10;0;0.0;36.016;45.252;71.13;9.344
2024-05-11 00:45:43;10;10;0;0.0;40.119;60.233;75.586;10.378
2024-05-11 00:45:53;10;10;0;0.0;36.166;41.554;52.094;5.273
